J-2 inkomen	J-1 inkomen	J0 inkomen	J0 IVT	Richting J0 (vs J-1)	Melding	Afhandeling / gevolg	J+1 IVT	J+2 IVT	Opmerking	Comm. J0 IVT	Comm. J+1 IVT	Comm. J+2 IVT
9.461 - 20.763	9.461 - 20.763	6.307 - 9.461	942 -> 0	daling	wel	op aanvraag herrekend	1.139 -> 942	1.139 -> 942		dode zone	o.b.v. J0	
9.461 - 20.763	9.461 - 20.763	6.307 - 9.461	942 -> 0	daling	niet	geen verhoging; N-2 pas in J+2	942 -> 0	1.139 -> 942	J+2: N-2 haalt J0 alsnog in	dode zone	dode zone; geen verhoging	via N-2
9.461 - 20.763	9.461 - 20.763	9.461 - 20.763	942 -> 0			IVT volgt N-2	942 -> 0	942 -> 0	binnen band	dode zone	dode zone	dode zone
9.461 - 20.763	9.461 - 20.763	9.461 - 20.763	942 -> 0	daling <20%	niet	geen verhoging	942 -> 0	942 -> 0	binnen band	dode zone	dode zone; geen verhoging	dode zone
9.461 - 20.763	9.461 - 20.763	9.461 - 20.763	942 -> 0	daling <20%	wel	op aanvraag herrekend (binnen band)	942 -> 0	942 -> 0	binnen band	dode zone	dode zone; binnen band	dode zone
9.461 - 20.763	9.461 - 20.763	9.461 - 20.763	942 -> 0	stijging >=20% (binnen band)	WEL*	auto-herrekening 31/12	942 -> 0	942 -> 0	binnen band	dode zone	dode zone; o.b.v. J0	dode zone
9.461 - 20.763	9.461 - 20.763	9.461 - 20.763	942 -> 0	stijging >=20% (binnen band)	NIET*	geen herrekening nu; terugvordering + boete	942 -> 0	942 -> 0	risico | binnen band	dode zone	dode zone; onterecht hoog	dode zone; via N-2 + terugvordering J+1
9.461 - 20.763	9.461 - 20.763	> 20.763	942 -> 0	stijging (>=20%)	WEL*	auto-herrekening 31/12	0	0		dode zone	o.b.v. J0	
9.461 - 20.763	9.461 - 20.763	> 20.763	942 -> 0	stijging (>=20%)	NIET*	geen herrekening nu; terugvordering + boete	942 -> 0	0	risico	dode zone	dode zone; onterecht hoog	via N-2 + terugvordering J+1
9.461 - 20.763	> 20.763	< 6.307	0	daling	wel	op aanvraag herrekend	1.402 -> 1.139	1.402 -> 1.139		versneld door J-1	o.b.v. J0	
9.461 - 20.763	> 20.763	< 6.307	0	daling	niet	geen verhoging; N-2 pas in J+2	0	1.402 -> 1.139	J+2: N-2 haalt J0 alsnog in	versneld door J-1	geen verhoging	via N-2
9.461 - 20.763	> 20.763	6.307 - 9.461	0	daling	wel	op aanvraag herrekend	1.139 -> 942	1.139 -> 942		versneld door J-1	o.b.v. J0	
9.461 - 20.763	> 20.763	6.307 - 9.461	0	daling	niet	geen verhoging; N-2 pas in J+2	0	1.139 -> 942	J+2: N-2 haalt J0 alsnog in	versneld door J-1	geen verhoging	via N-2
